fold,iteration,macro,micro
6,0,0.3333333333333333,0.8
3,0,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
2,0,0.0,0.0
1,0,0.3333333333333333,1.0
7,0,0.3333333333333333,0.3333333333333333
8,0,0.3333333333333333,1.0
total,total,0.21666666666666667,0.3611111111111111
